,original_date,update_date,county_city,originating_agency,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num,subject,priority,worked_by,overall_status,assignment_status,assigned_to,original_dt,update_dt,subject_split,subject_std
239,03/17/202008:16:31,03/21/202016:50:01,KingKenmore,NorthshoreFire (NEMCo),KEN001WA­20203178758,WA­20203178758,,"Shield, Face,/ Gown,Disposable, /gloves, Exam,Large / mask,N95, / EMSPPE Sets",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"gloves, exam,large",Gloves
239,03/17/202008:16:31,03/21/202016:50:01,KingKenmore,NorthshoreFire (NEMCo),KEN001WA­20203178758,WA­20203178758,,"Shield, Face,/ Gown,Disposable, /gloves, Exam,Large / mask,N95, / EMSPPE Sets",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"mask,n95,",Masks
239,03/17/202008:16:31,03/21/202016:50:01,KingKenmore,NorthshoreFire (NEMCo),KEN001WA­20203178758,WA­20203178758,,"Shield, Face,/ Gown,Disposable, /gloves, Exam,Large / mask,N95, / EMSPPE Sets",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,emsppe sets,
240,03/10/202011:06:31,03/21/202016:49:49,KingSeattle,MeridianMedicine,PH­202031011525PH­202031011525,WA­202031011525,,"Mask, N95 /Gown,Disposable",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-10,2020-03-21,"mask, n95",Masks
240,03/10/202011:06:31,03/21/202016:49:49,KingSeattle,MeridianMedicine,PH­202031011525PH­202031011525,WA­202031011525,,"Mask, N95 /Gown,Disposable",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-10,2020-03-21,"gown,disposable",Gowns
241,03/22/202017:14:38,03/23/202013:47:19,WallaWallaWallaWalla,Walla WallaConsolidatedRequest(Part 2),0322002­C,WA­202032217121,,"PPE, MedicalSupplies",,County,Unassigned,,,2020-03-22,2020-03-23,"ppe, medicalsupplies",PPE
242,03/23/202007:55:41,03/23/202013:46:48,WallaWallaWallaWalla,ConsolidatedWalla WallaCounty,0323001­C,WA­20203237865,,*ConsolidatedWalla WallaCountyEmergencyManagement,IncidentStabilization,State,Accepted,Accepted,,2020-03-23,2020-03-23,*consolidatedwalla wallacountyemergencymanagement,
243,03/22/202017:31:32,03/23/202013:46:12,WallaWallaWallaWalla,Walla WallaCountyEmergencyMangementConsolidatedOrder Part 3,0322003­C,WA­202032217930,,PPE andMedicalSupplies,,County,Unassigned,,,2020-03-22,2020-03-23,ppe andmedicalsupplies,PPE
244,03/23/202011:47:18,03/23/202013:36:57,KingSeattle,NAVOS,"PH­202032311921,RR 330A",WA­202032311921,,RR 330a (DONOTREMOVE) ­PPE forNAVOS,IncidentStabilization,County,Unassigned,,,2020-03-23,2020-03-23,rr 330a (donotremove) ­ppe fornavos,
245,03/23/202013:28:13,03/23/202013:33:55,OkanoganColville,PUD #1 ofOkanoganCounty,03­23­2020 2,WA­202032313113,,Lysol,,County,Unassigned,,,2020-03-23,2020-03-23,lysol,
246,03/20/202014:53:48,03/23/202013:31:25,SnohomishEverett,SnohomishHealthDistrict,SnoCo­202032014929,WA­202032014929,,Tablets,IncidentStabilization,County,Cancelled,,,2020-03-20,2020-03-23,tablets,
247,03/13/202016:32:14,03/23/202013:30:24,KingAlgona,KC DAJD,KC­20203131694,WA­20203131694,,"thermometer,touch free",IncidentStabilization,County,Assigned,Assigned,,2020-03-13,2020-03-23,"thermometer,touch free",Thermometers
248,03/13/202008:44:06,03/23/202013:24:40,IslandCoupeville,PediatricAssociationof WhidbeyIsland,IC­20­030012,WA­20203138238,,"Gown,Disposable",IncidentStabilization,County,Assigned,In Transit,,2020-03-13,2020-03-23,"gown,disposable",Gowns
249,03/23/202013:13:07,03/23/202013:18:28,OkanoganColville,Lifeline,03­23­2020,WA­202032313542,,1500 BasicMask,,County,Unassigned,,,2020-03-23,2020-03-23,1500 basicmask,Masks
250,03/13/202012:20:37,03/21/202017:17:38,SnohomishMill Creek,SwedishMill CreekMedical,SNOCO ­202031312958WA­202031312958,WA­202031312958,,"Gown,Disposable",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gown,disposable",Gowns
251,03/13/202012:28:35,03/21/202017:17:32,SnohomishEverett,SwedishMill CreekMedicalCenter,SnoCo­202031312673WA­202031312673,WA­202031312673,,"Gloves,NitrileExam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gloves,nitrileexam",Gloves
252,03/13/202009:17:07,03/21/202017:17:32,SnohomishBothell,BothellHealthcare,SnoCo­20203139790WA­20203139790,WA­20203139790,,"Gown,Disposable",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gown,disposable",Gowns
253,03/13/202012:16:29,03/21/202017:17:31,SnohomishMill Creek,SwedishMill CreekMedical,SNOCO ­202031312888/MC014WA­202031312888,WA­202031312888,,"Gloves,Exam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gloves,exam",Gloves
254,03/13/202012:41:31,03/21/202017:17:07,SnohomishEverett,SwedishMill CreekMedicalCenter,SnoCo­202031312723WA­202031312723,WA­202031312723,,"Gloves,NitrileExam",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gloves,nitrileexam",Gloves
255,03/13/202011:24:01,03/21/202017:17:00,SnohomishMill Creek,SwedishMill CreekMedical,MC009/SNOCOWA­202031311456,WA­202031311456,,"Mask,Procedure/ Shield,Face",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"mask,procedure",Masks
255,03/13/202011:24:01,03/21/202017:17:00,SnohomishMill Creek,SwedishMill CreekMedical,MC009/SNOCOWA­202031311456,WA­202031311456,,"Mask,Procedure/ Shield,Face",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"shield,face",
256,03/13/202013:30:03,03/21/202017:16:49,SnohomishEdmonds,SwedishEdmondsMedicalCenter,ED012/SnoCo­202031313528WA­202031313528,WA­202031313528,,"Shield,Face",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"shield,face",
257,03/13/202013:19:59,03/21/202017:16:39,SnohomishEdmonds,SwedishEdmondsMedical,ED002/SNOCO ­20203131397WA­20203131397,WA­20203131397,,SanitizerHand ALCPump 12oz,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,sanitizerhand alcpump 12oz,Disinfectant/Sanitizer
258,03/17/202011:38:24,03/22/202017:47:40,KlickitatBingen,KCEMS1,0260032,WA­202031711222,,Shoe Covers,IncidentStabilization,County,Unassigned,Accepted,,2020-03-17,2020-03-22,shoe covers,
259,03/17/202010:51:08,03/22/202017:47:28,KlickitatGoldendale,KCEMS1,0260025,WA­202031710144,,DisposableSurgicalGowns,IncidentStabilization,County,Unassigned,Assigned,,2020-03-17,2020-03-22,disposablesurgicalgowns,Gowns
260,03/22/202017:03:00,03/22/202017:39:19,GarfieldPomeroy,Emergencymanagement,GarfieldEM­1,WA­202032217805,,"Consolidatedlist 3MVesafloRespiratorSystemw/hood;Mask, N95;Gowns,disposable ;1000ml Foamhandsanitizer;1000ml gelhandsanitizer;Oxyvirdisinfectantwipescanister of160; Glovesmedium,gloves large,glovesXlarge",,County,Unassigned,,,2020-03-22,2020-03-22,consolidatedlist 3mvesaflorespiratorsystemw,
260,03/22/202017:03:00,03/22/202017:39:19,GarfieldPomeroy,Emergencymanagement,GarfieldEM­1,WA­202032217805,,"Consolidatedlist 3MVesafloRespiratorSystemw/hood;Mask, N95;Gowns,disposable ;1000ml Foamhandsanitizer;1000ml gelhandsanitizer;Oxyvirdisinfectantwipescanister of160; Glovesmedium,gloves large,glovesXlarge",,County,Unassigned,,,2020-03-22,2020-03-22,"hood;mask, n95;gowns,disposable ;1000ml foamhandsanitizer;1000ml gelhandsanitizer;oxyvirdisinfectantwipescanister of160; glovesmedium,gloves large,glovesxlarge",Masks
261,03/22/202007:28:38,03/22/202017:36:30,ThurstonOlympia,Thurston CountyEmergencyManagement,TH­20203227872TH­20203227872,WA­20203227872,,*ConsolidatedResourceRequest (2 of3),IncidentStabilization,County,Accepted,Assigned,,2020-03-22,2020-03-22,*consolidatedresourcerequest (2 of3),
262,03/22/202007:37:44,03/22/202017:26:55,ThurstonOlympia,Thurston CountyEmergencyManagement,TH­20203227910TH­20203227910,WA­20203227910,,*ConsolidatedResourceRequest (3 of3),IncidentStabilization,County,Accepted,Accepted,,2020-03-22,2020-03-22,*consolidatedresourcerequest (3 of3),
263,03/04/202009:03:59,03/07/202013:00:24,KingSeattle,NWHRN,RR 150KC­2020349635,WA­2020349635,,PPE re COVID­19,IncidentStabilization,County,Cancelled,,,2020-03-04,2020-03-07,ppe re covid­19,PPE
264,03/01/202008:51:44,03/06/202014:22:21,SnohomishUnincorporatedCounty,SnohomishCountySheriffOffice,Snoco ­202031838,WA­202031838,,N95 Masks for County Jail,IncidentStabilization,County,Cancelled,,,2020-03-01,2020-03-06,n95 masks for county jail,Masks
265,03/06/202014:03:38,03/06/202014:16:52,PierceLakewood,West PierceFire &Rescue &City ofLakewood,RR#2,WA­20203614585,,Surgical Mask,IncidentStabilization,City,Unassigned,,,2020-03-06,2020-03-06,surgical mask,Masks
266,03/06/202013:19:37,03/06/202013:35:33,KingSeattle,PHSKC,PH­20203613963,WA­20203613963,,RR 165 DRIS/Driver,IncidentStabilization,City,Unassigned,,,2020-03-06,2020-03-06,rr 165 dris,
266,03/06/202013:19:37,03/06/202013:35:33,KingSeattle,PHSKC,PH­20203613963,WA­20203613963,,RR 165 DRIS/Driver,IncidentStabilization,City,Unassigned,,,2020-03-06,2020-03-06,driver,
267,03/06/202012:48:59,03/06/202012:58:05,KingSeattle,KC treasurydept,kc­2020361244,WA­2020361244,,200 surgical masks,,County,Completed,,,2020-03-06,2020-03-06,200 surgical masks,Masks
268,03/06/202012:19:34,03/06/202012:25:48,KingHatton,"Logistics,City ofBothell",BOT0101,WA­20203612647,,Disinfecting Wipes,IncidentStabilization,City,Unassigned,,,2020-03-06,2020-03-06,disinfecting wipes,Disinfectant/Sanitizer
269,03/05/202017:54:09,03/05/202018:06:04,KingSeattle,PHSKC,PH­20203517959,WA­20203517959,,RR 162 Disease Invesitigator,IncidentStabilization,City,Unassigned,,,2020-03-05,2020-03-05,rr 162 disease invesitigator,
270,03/05/202016:50:43,03/05/202017:30:09,KingSeattle,PHSKC,PH­20203516850,WA­20203516850,,RR158 ­ Behavioral HealthSupport for Life Care,IncidentStabilization,City,Unassigned,,,2020-03-05,2020-03-05,rr158 ­ behavioral healthsupport for life care,
271,03/05/202011:59:12,03/05/202012:10:50,KingSeattle,PHSKC,PH­20203511429KC­20203511429,WA­20203511429,,OEM Staff for HMAC,,County,Cancelled,,,2020-03-05,2020-03-05,oem staff for hmac,
272,03/02/202013:15:36,03/05/202011:44:55,KingSeattle,PHSKC,PH­20203213217,WA­20203213217,,RR 038 ­ Laundry Service forLife Care,IncidentStabilization,City,Completed,,,2020-03-02,2020-03-05,rr 038 ­ laundry service forlife care,
273,03/02/202007:46:15,03/04/202016:06:22,KingKirkland,KirklandEOC,KI­2020327548KC­2020327548,WA­2020327548,,Isolation facility,IncidentStabilization,County,Cancelled,CancelledAccepted,,2020-03-02,2020-03-04,isolation facility,
274,03/03/202001:21:18,03/04/202010:52:49,KingSeattle,PHSKC,PH­2020331630,WA­2020331630,,RR 140 ­ Two White Boards forDuchin,IncidentStabilization,City,Assigned,,,2020-03-03,2020-03-04,rr 140 ­ two white boards forduchin,
275,03/18/202013:13:59,03/21/202016:20:51,GraysHarborMontesano,City ofMontesano,MFD­006GHC044,WA­202031813762,,"Disinfectant,Cavicide",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-18,2020-03-21,"disinfectant,cavicide",Disinfectant/Sanitizer
276,03/18/202013:08:36,03/21/202016:20:39,GraysHarborMontesano,City ofMontesano,MFD­005GHC043,WA­202031813326,,"eyewear,protective",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"eyewear,protective",
277,03/19/202019:32:42,03/21/202016:20:30,KingRedmond,OverlakeTerrace,"PH­202031919938,RR 359KC­202031919938",WA­202031919938,,"Mask, N95, /RR 359 (DONOTREMOVE) ­PPE forOverlakeTerrace",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-19,2020-03-21,"mask, n95,",Masks
277,03/19/202019:32:42,03/21/202016:20:30,KingRedmond,OverlakeTerrace,"PH­202031919938,RR 359KC­202031919938",WA­202031919938,,"Mask, N95, /RR 359 (DONOTREMOVE) ­PPE forOverlakeTerrace",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-19,2020-03-21,rr 359 (donotremove) ­ppe foroverlaketerrace,
278,03/20/202015:23:53,03/21/202016:20:30,PierceLakewood,WashingtonState MilitaryDepartment,SEOC,WA­202032015686,,Two (2)CradlepointAER2200routers,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,two (2)cradlepointaer2200routers,
279,03/18/202013:01:56,03/21/202016:20:18,GraysHarborMontesano,City ofMontesano,MFD­004GHC042,WA­20203181314,,"Gowns,disposeable,200 /isolationgowns",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-18,2020-03-21,"gowns,disposeable,200",Gowns
279,03/18/202013:01:56,03/21/202016:20:18,GraysHarborMontesano,City ofMontesano,MFD­004GHC042,WA­20203181314,,"Gowns,disposeable,200 /isolationgowns",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-18,2020-03-21,isolationgowns,Gowns
280,03/18/202012:55:37,03/21/202016:20:00,GraysHarborMontesano,City ofMontesano,MFD­003GHC041,WA­202031812977,,"Masks,Fluidshield",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"masks,fluidshield",Masks
281,03/20/202008:45:25,03/21/202016:05:37,BentonRichland,Richland FireDepartment,WA­20203208193BC026­COVID19,WA­20203208193,,"Mask, N95,ShieldFace, /Gown,disposable,/",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,"mask, n95,shieldface,",Masks
281,03/20/202008:45:25,03/21/202016:05:37,BentonRichland,Richland FireDepartment,WA­20203208193BC026­COVID19,WA­20203208193,,"Mask, N95,ShieldFace, /Gown,disposable,/",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,"gown,disposable,",Gowns
282,03/20/202013:14:56,03/21/202016:05:09,GrantCouleeCity,Ephrata FireDepartment,WA­2020320131712020­28,WA­202032013171,,"Mask,adjustable,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,"mask,adjustable,",Masks
282,03/20/202013:14:56,03/21/202016:05:09,GrantCouleeCity,Ephrata FireDepartment,WA­2020320131712020­28,WA­202032013171,,"Mask,adjustable,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,ppe,PPE
283,03/10/202014:14:45,03/21/202016:04:58,BentonBentonCity,KadlecMedicalCenter,BC003­COVID19,WA­202031014582,,DisinfectantWipeSanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-10,2020-03-21,disinfectantwipesanitizer,Disinfectant/Sanitizer
284,03/17/202011:52:33,03/21/202016:04:57,GrantCouleeCity,Grant CountyHealthDistrict,WA­2020317118142020­3,WA­202031711814,,"Gown,disposable,/ Mask,Procedure,/ HandSanitizer, /Mask, N95,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"gown,disposable,",Gowns
284,03/17/202011:52:33,03/21/202016:04:57,GrantCouleeCity,Grant CountyHealthDistrict,WA­2020317118142020­3,WA­202031711814,,"Gown,disposable,/ Mask,Procedure,/ HandSanitizer, /Mask, N95,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"mask,procedure,",Masks
284,03/17/202011:52:33,03/21/202016:04:57,GrantCouleeCity,Grant CountyHealthDistrict,WA­2020317118142020­3,WA­202031711814,,"Gown,disposable,/ Mask,Procedure,/ HandSanitizer, /Mask, N95,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"handsanitizer,",Disinfectant/Sanitizer
284,03/17/202011:52:33,03/21/202016:04:57,GrantCouleeCity,Grant CountyHealthDistrict,WA­2020317118142020­3,WA­202031711814,,"Gown,disposable,/ Mask,Procedure,/ HandSanitizer, /Mask, N95,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"mask, n95,",Masks
284,03/17/202011:52:33,03/21/202016:04:57,GrantCouleeCity,Grant CountyHealthDistrict,WA­2020317118142020­3,WA­202031711814,,"Gown,disposable,/ Mask,Procedure,/ HandSanitizer, /Mask, N95,/ PPE",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,ppe,PPE
285,03/10/202013:37:48,03/21/202016:04:48,BentonBentonCity,KadlecMedicalCenter,BC002­COVID19BC002­COVID 19,WA­202031013842,,HandSanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-10,2020-03-21,handsanitizer,Disinfectant/Sanitizer
286,03/20/202011:57:41,03/21/202016:04:36,BentonRichland,ChaplaincyHealth Care,WA­202032011678BC027­COVID19,WA­202032011678,,"Gown,disposable,/ Mask,procedure,/ Mask,N95",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,"gown,disposable,",Gowns
286,03/20/202011:57:41,03/21/202016:04:36,BentonRichland,ChaplaincyHealth Care,WA­202032011678BC027­COVID19,WA­202032011678,,"Gown,disposable,/ Mask,procedure,/ Mask,N95",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,"mask,procedure,",Masks
286,03/20/202011:57:41,03/21/202016:04:36,BentonRichland,ChaplaincyHealth Care,WA­202032011678BC027­COVID19,WA­202032011678,,"Gown,disposable,/ Mask,procedure,/ Mask,N95",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-20,2020-03-21,"mask,n95",Masks
287,03/13/202010:14:57,03/21/202017:08:53,SnohomishBothell,BothellHealthcare,084/SnoCo­2020313109WA­2020313109,WA­2020313109,,"Wipes,Disinfecting",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"wipes,disinfecting",Disinfectant/Sanitizer
288,03/13/202010:42:55,03/21/202017:08:41,SnohomishEverett,SnohomishCounty FireTask Force,SnoCo­202031310187WA­202031310187,WA­202031310187,,"Sanitizer,Hand",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"sanitizer,hand",Disinfectant/Sanitizer
289,03/18/202011:50:18,03/21/202017:08:32,SnohomishArlington,SkagitRegionalHealth,07SnoCo­202031811979,WA­202031811979,,"Mask, N95,small, / Mask,N95 medium, /Mask, N95,Aura N95 Mask",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"mask, n95,small,",Masks
289,03/18/202011:50:18,03/21/202017:08:32,SnohomishArlington,SkagitRegionalHealth,07SnoCo­202031811979,WA­202031811979,,"Mask, N95,small, / Mask,N95 medium, /Mask, N95,Aura N95 Mask",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"mask,n95 medium,",Masks
289,03/18/202011:50:18,03/21/202017:08:32,SnohomishArlington,SkagitRegionalHealth,07SnoCo­202031811979,WA­202031811979,,"Mask, N95,small, / Mask,N95 medium, /Mask, N95,Aura N95 Mask",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"mask, n95,aura n95 mask",Masks
290,03/18/202011:34:10,03/21/202017:08:23,SnohomishArlington,SkagitRegionalHealth,04SnoCo­202031811326,WA­202031811326,,"Gowns,disposable,Large",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"gowns,disposable,large",Gowns
291,03/17/202016:41:47,03/21/202017:08:23,ThurstonOlympia,ThurstonCountyEmergencyManagement,WA­202031716949TH­202031716949,WA­202031716949,,"Masks,Surgical /Hand Sanitizer/ Disinfectantwipes",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,"masks,surgical",Masks
291,03/17/202016:41:47,03/21/202017:08:23,ThurstonOlympia,ThurstonCountyEmergencyManagement,WA­202031716949TH­202031716949,WA­202031716949,,"Masks,Surgical /Hand Sanitizer/ Disinfectantwipes",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,hand sanitizer,Disinfectant/Sanitizer
291,03/17/202016:41:47,03/21/202017:08:23,ThurstonOlympia,ThurstonCountyEmergencyManagement,WA­202031716949TH­202031716949,WA­202031716949,,"Masks,Surgical /Hand Sanitizer/ Disinfectantwipes",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-17,2020-03-21,disinfectantwipes,Disinfectant/Sanitizer
292,03/11/202008:28:26,03/21/202017:08:11,SnohomishEverett,SnohomishCountySheriffsOffice,Snoco­2020311858,WA­2020311858,,"Mask, N95,Small /Medium /Large / X­Large",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-11,2020-03-21,"mask, n95,small",Masks
292,03/11/202008:28:26,03/21/202017:08:11,SnohomishEverett,SnohomishCountySheriffsOffice,Snoco­2020311858,WA­2020311858,,"Mask, N95,Small /Medium /Large / X­Large",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-11,2020-03-21,medium,
292,03/11/202008:28:26,03/21/202017:08:11,SnohomishEverett,SnohomishCountySheriffsOffice,Snoco­2020311858,WA­2020311858,,"Mask, N95,Small /Medium /Large / X­Large",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-11,2020-03-21,large,
292,03/11/202008:28:26,03/21/202017:08:11,SnohomishEverett,SnohomishCountySheriffsOffice,Snoco­2020311858,WA­2020311858,,"Mask, N95,Small /Medium /Large / X­Large",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-11,2020-03-21,x­large,
293,03/18/202011:03:09,03/21/202017:08:11,SnohomishArlington,SkagitRegionalHealth,02SnoCo­20203181140,WA­20203181140,,"Nebulizer,Handheld, W/OMask, 300",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"nebulizer,handheld, w",
293,03/18/202011:03:09,03/21/202017:08:11,SnohomishArlington,SkagitRegionalHealth,02SnoCo­20203181140,WA­20203181140,,"Nebulizer,Handheld, W/OMask, 300",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"omask, 300",Masks
294,03/13/202009:47:00,03/21/202016:52:40,KingAlgona,City ofAlgona,ALG 1KC­20203139521,WA­20203139521,,"Mask, N95",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"mask, n95",Masks
295,03/14/202018:27:17,03/21/202016:52:39,KingBellevue,OverlakeOB/GYN,PH­202031418476KC­202031418476,WA­202031418476,,"mask, N95respirator(Don't remove:RR 286)",IncidentStabilization,County,Assigned,Accepted,Logistics Section,2020-03-14,2020-03-21,"mask, n95respirator(don't remove:rr 286)",Masks
296,03/13/202009:01:53,03/21/202016:52:21,KingKent,RegionalJusticeCenter,KC­20203139343,WA­20203139343,,"Disinfectant,wipes / gown,disposable",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"disinfectant,wipes",Disinfectant/Sanitizer
296,03/13/202009:01:53,03/21/202016:52:21,KingKent,RegionalJusticeCenter,KC­20203139343,WA­20203139343,,"Disinfectant,wipes / gown,disposable",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,"gown,disposable",Gowns
297,03/05/202014:53:09,03/21/202016:52:10,WhatcomBellingham,WhatcomCounty Jail,Jail 2020­03­05Whatcom 0004(Jail),WA­20203514882,,"Mask, N95 /Wipes",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,"mask, n95",Masks
297,03/05/202014:53:09,03/21/202016:52:10,WhatcomBellingham,WhatcomCounty Jail,Jail 2020­03­05Whatcom 0004(Jail),WA­20203514882,,"Mask, N95 /Wipes",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,wipes,Disinfectant/Sanitizer
298,03/13/202017:19:45,03/21/202016:52:09,KingSeaTac,NorthwestKidneyCenters,PH­202031317256/KC­202031317256WA­202031317256,WA­202031317256,,HandSanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-13,2020-03-21,handsanitizer,Disinfectant/Sanitizer
299,03/05/202014:38:24,03/21/202016:52:09,WhatcomBellingham,WhatcomCountySheriff'sOffice,Whatcom 0003(WCSO),WA­20203514380,,"Mask, N95 /HandSanitizer /Gloves, Exam,Medium /Gloves, Exam,Large /Gloves, Exam,X­Large /",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,"mask, n95",Masks
299,03/05/202014:38:24,03/21/202016:52:09,WhatcomBellingham,WhatcomCountySheriff'sOffice,Whatcom 0003(WCSO),WA­20203514380,,"Mask, N95 /HandSanitizer /Gloves, Exam,Medium /Gloves, Exam,Large /Gloves, Exam,X­Large /",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,handsanitizer,Disinfectant/Sanitizer
299,03/05/202014:38:24,03/21/202016:52:09,WhatcomBellingham,WhatcomCountySheriff'sOffice,Whatcom 0003(WCSO),WA­20203514380,,"Mask, N95 /HandSanitizer /Gloves, Exam,Medium /Gloves, Exam,Large /Gloves, Exam,X­Large /",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,"gloves, exam,medium",Gloves
299,03/05/202014:38:24,03/21/202016:52:09,WhatcomBellingham,WhatcomCountySheriff'sOffice,Whatcom 0003(WCSO),WA­20203514380,,"Mask, N95 /HandSanitizer /Gloves, Exam,Medium /Gloves, Exam,Large /Gloves, Exam,X­Large /",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,"gloves, exam,large",Gloves
299,03/05/202014:38:24,03/21/202016:52:09,WhatcomBellingham,WhatcomCountySheriff'sOffice,Whatcom 0003(WCSO),WA­20203514380,,"Mask, N95 /HandSanitizer /Gloves, Exam,Medium /Gloves, Exam,Large /Gloves, Exam,X­Large /",IncidentStabilization,County,Assigned,AssignedAssigned,Logistics SectionLogistics Section,2020-03-05,2020-03-21,"gloves, exam,x­large",Gloves
300,03/07/202017:31:02,03/11/202008:36:58,ThurstonOlympia,WA StateDepartmentof Health,DOH­T 0307.12WA­20203717986,WA­20203717986,,Medical Personnel,Life Saving,State,Cancelled,,,2020-03-07,2020-03-11,medical personnel,
301,03/11/202007:57:34,03/11/202008:00:16,CowlitzLongview,CanterburyGardens,DEM­007,WA­20203117621,,Medical protectiveequipment/supplies,Life Saving,County,Unassigned,,,2020-03-11,2020-03-11,medical protectiveequipment,
301,03/11/202007:57:34,03/11/202008:00:16,CowlitzLongview,CanterburyGardens,DEM­007,WA­20203117621,,Medical protectiveequipment/supplies,Life Saving,County,Unassigned,,,2020-03-11,2020-03-11,supplies,
302,03/11/202007:50:29,03/11/202007:57:06,CowlitzLongview,CanterburyGardens,DEM­006,WA­2020311722,,Medical protectiveequipment/supplies,Life Saving,County,Unassigned,,,2020-03-11,2020-03-11,medical protectiveequipment,
