,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
564,2020-03-19,2020-03-21,Gencare Ballard Landmark,King,Seattle,rr 360 (do not remove) ­ ppe for gencare ballard landmark,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031919934, RR 360 KC­ 202031919934",WA­ 202031919934,
565,2020-03-17,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"filter, cover, papr, 20",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203179945 Kitsap ­ 021,WA­ 20203179945,
566,2020-03-17,2020-03-21,Riverside Place,Grays,Harbor Hoquiam,"gloves, exam, medium,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,RP­001 GHC034,WA­ 202031714124,
566,2020-03-17,2020-03-21,Riverside Place,Grays,Harbor Hoquiam,ppe,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,RP­001 GHC034,WA­ 202031714124,
567,2020-03-19,2020-03-21,Aljoya Thornton Place,King,Seattle,"gown, disposable,",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031916309, RR 352 KC­ 202031916309",WA­ 202031916309,
567,2020-03-19,2020-03-21,Aljoya Thornton Place,King,Seattle,"gloves, exam, medium,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031916309, RR 352 KC­ 202031916309",WA­ 202031916309,
567,2020-03-19,2020-03-21,Aljoya Thornton Place,King,Seattle,rr 352 (do not remove) ­ ppe for aljoya thornton place,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031916309, RR 352 KC­ 202031916309",WA­ 202031916309,
568,2020-03-19,2020-03-21,Affable Caring AFH LLC,King,Seattle,"hand sanitizer,",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031923280, RR 366 KC­ 202031923280",WA­ 202031923280,
568,2020-03-19,2020-03-21,Affable Caring AFH LLC,King,Seattle,"thermometer, no contact,",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031923280, RR 366 KC­ 202031923280",WA­ 202031923280,
568,2020-03-19,2020-03-21,Affable Caring AFH LLC,King,Seattle,rr 366 (do not remove) ­ hand sanitizer and thermometer for affable caring afh llc,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031923280, RR 366 KC­ 202031923280",WA­ 202031923280,
569,2020-03-13,2020-03-21,City of Long Beach,Pacific,Long Beach,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PacificCo001 WA­ 202031310490,WA­ 202031310490,
569,2020-03-13,2020-03-21,City of Long Beach,Pacific,Long Beach,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PacificCo001 WA­ 202031310490,WA­ 202031310490,
569,2020-03-13,2020-03-21,City of Long Beach,Pacific,Long Beach,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PacificCo001 WA­ 202031310490,WA­ 202031310490,
570,2020-03-16,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 020,WA­ 202031616527,
570,2020-03-16,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 020,WA­ 202031616527,
571,2020-03-10,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,particulate n95,,Incident Stabilization,County,Completed,Completed,Logistics Section,28601,WA­ 202031014671,
571,2020-03-10,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,^,,Incident Stabilization,County,Completed,Completed,Logistics Section,28601,WA­ 202031014671,
572,2020-03-17,2020-03-21,Westhaven Villa,Grays,Harbor Aberdeen,"gowns, disposable, large",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WH001 GHC013,WA­ 202031714562,
573,2020-03-19,2020-03-21,UW Homeless Youth Clinic,King,Seattle,"masks, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031914636, RR 350 KC­ 202031914636",WA­ 202031914636,
573,2020-03-19,2020-03-21,UW Homeless Youth Clinic,King,Seattle,"gown, procedure",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031914636, RR 350 KC­ 202031914636",WA­ 202031914636,
573,2020-03-19,2020-03-21,UW Homeless Youth Clinic,King,Seattle,rr 350 (do not remove) ­ ppe for uw homeless youth clinic,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031914636, RR 350 KC­ 202031914636",WA­ 202031914636,
574,2020-03-12,2020-03-21,Kitsap County Administrative Services Department,Kitsap,Bremerton,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 013,WA­ 202031211373,
574,2020-03-12,2020-03-21,Kitsap County Administrative Services Department,Kitsap,Bremerton,"glasses, safety, wipes",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 013,WA­ 202031211373,
575,2020-03-19,2020-03-21,Snoqualmie Hospital,King,Snoqualmie,"masks, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031914522, RR 349 KC­ 202031914522",WA­ 202031914522,
575,2020-03-19,2020-03-21,Snoqualmie Hospital,King,Snoqualmie,"masks, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031914522, RR 349 KC­ 202031914522",WA­ 202031914522,
575,2020-03-19,2020-03-21,Snoqualmie Hospital,King,Snoqualmie,rr 349 (do not remove) ­ ppe for snoqualmie hospital,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031914522, RR 349 KC­ 202031914522",WA­ 202031914522,
576,2020-03-12,2020-03-21,Kitsap County Human Services,Kitsap,Port Orchard,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 016,WA­ 202031216464,
576,2020-03-12,2020-03-21,Kitsap County Human Services,Kitsap,Port Orchard,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 016,WA­ 202031216464,
576,2020-03-12,2020-03-21,Kitsap County Human Services,Kitsap,Port Orchard,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 016,WA­ 202031216464,
576,2020-03-12,2020-03-21,Kitsap County Human Services,Kitsap,Port Orchard,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 016,WA­ 202031216464,
576,2020-03-12,2020-03-21,Kitsap County Human Services,Kitsap,Port Orchard,glasses safety,Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 016,WA­ 202031216464,
577,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"gowns, disposable, large, 2000",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812984 Kitsap ­ 026OLYA,WA­ 202031812984,
578,2020-03-20,2020-03-23,Snohomish Health District,Snohomish,Snohomish,folding tables,,Incident Stabilization,County,Accepted,,,Snoco­ 20203201460,WA­ 20203201460,
579,2020-03-20,2020-03-23,Snohomish County Medical Examiner,Snohomish,Everett,"filters, vapor mask",Masks,Incident Stabilization,County,Completed,Completed,Movement Coordination,Snoco­ 202032010272,WA­ 202032010272,
580,2020-03-07,2020-03-23,DSHS for Long­Term Care Incident Command,Thurston,Lacey,"staffing, eoc overhead team, tumwater",Staffing,Incident Stabilization,State,On Scene,On Scene,Planning Section,DSHS­0002 DSHS­0002,WA­ 20203710975,
581,2020-03-22,2020-03-22,Mason County Emergency Management,Mason,Shelton,*mason county consolidated list,,Incident Stabilization,State,Accepted,Accepted,Logistics Section,Consolidated WA­ 2020322931,WA­ 2020322931,
582,2020-03-13,2020-03-22,Klickitat Valley Health,Klickitat,Bingen,utm­rt medium,,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,KVH­3 02600004,WA­ 202031314958,
583,2020-03-22,2020-03-22,DSHS,Pierce,Lakewood,ppe,PPE,,County,Unassigned,,,DSHS­0026,WA­ 202032218699,
584,2020-03-17,2020-03-22,KCEMS1,Klickitat,Bingen,*klickitat county consolidated list,,Incident Stabilization,County,Accepted,Assigned,Logistics Section,260026,WA­ 202031711393,
585,2020-03-11,2020-03-22,Klickitat Valley Health,Klickitat,Bingen,swabs,SWABS,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,KVH­2 026500003,WA­ 202031112168,
586,2020-03-17,2020-03-22,KCEMS1,Klickitat,Goldendale,"gloves, disposable, medical",Gloves,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,260028,WA­ 20203171145,
587,2020-03-13,2020-03-22,Klickitat Valley Health,Klickitat,Goldendale,utm­rt media,,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,KVH­3 026500004,WA­ 202031314997,
588,2020-03-14,2020-03-22,Klickitat Fire District 3,Klickitat,Goldendale,"masks, n95",Masks,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,2600007,WA­ 202031411109,
589,2020-03-14,2020-03-22,Klickitat Fire District 3,Klickitat,Goldendale,surgical gowns,Gowns,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,2600009,WA­ 202031411146,
590,2020-03-16,2020-03-22,KCEMS1,Klickitat,Goldendale,"mask, n95",Masks,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,260017,WA­ 202031618209,
591,2020-03-14,2020-03-22,Klickitat Fire District 3,Klickitat,Bingen,"masks, n95",Masks,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,2600006,WA­ 202031411550,
592,2020-03-16,2020-03-22,KCEMS1,Klickitat,Goldendale,"mask, n95",Masks,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,WA­ 202031617175 0260015,WA­ 202031617175,
593,2020-03-16,2020-03-22,KCEMS1,Klickitat,Goldendale,"mask, n95",Masks,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,260018,WA­ 202031618328,
594,2020-03-17,2020-03-22,KCEMS1,Klickitat,Goldendale,disposable surgical gowns,Gowns,Incident Stabilization,County,Unassigned,Assigned,Logistics Section,260023,WA­ 202031710183,
595,2020-03-20,2020-03-21,Astria Toppenish Hospital,Yakima,Toppenish,"masks, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032012867 02­0202 RRQ­ 015,WA­ 202032012867,
595,2020-03-20,2020-03-21,Astria Toppenish Hospital,Yakima,Toppenish,"gowns, isolation, masks, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032012867 02­0202 RRQ­ 015,WA­ 202032012867,
595,2020-03-20,2020-03-21,Astria Toppenish Hospital,Yakima,Toppenish,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032012867 02­0202 RRQ­ 015,WA­ 202032012867,
596,2020-03-19,2020-03-21,Mountainview Home Health,Yakima,Yakima,"mask, surgical, 4 boxes",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031916789 02­0202 RRQ­ 014,WA­ 202031916789,
597,2020-03-13,2020-03-21,Coventry House Assisted Living,Adams,Othello,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031316881,WA­ 202031316881,
597,2020-03-13,2020-03-21,Coventry House Assisted Living,Adams,Othello,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031316881,WA­ 202031316881,
598,2020-03-18,2020-03-21,Mid­Valley Community Clinic,Yakima,Sunnyside,"masks, hand sanitizer, respirator",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,02­0202 RRQ­ 012,WA­ 202031816718,
599,2020-03-18,2020-03-21,Selah Fire Department,Yakima,Selah,"mask, n95, 100",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031816462 02­0202 RRQ­ 013,WA­ 202031816462,
599,2020-03-18,2020-03-21,Selah Fire Department,Yakima,Selah,"gown, disposable, 100",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031816462 02­0202 RRQ­ 013,WA­ 202031816462,
599,2020-03-18,2020-03-21,Selah Fire Department,Yakima,Selah,isolation gowns,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031816462 02­0202 RRQ­ 013,WA­ 202031816462,
600,2020-03-13,2020-03-21,Coventry House Assisted Living,Adams,Othello,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,AdamsCo001 WA­ 202031316511,WA­ 202031316511,
601,2020-03-16,2020-03-21,Jefferson County Sheriff,Jefferson,Port Hadlock,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,JCSO31620­4 200256,WA­ 202031618647,
602,2020-03-17,2020-03-21,Yakima Health District,Yakima,Yakima,"test, covid­19",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031716748 02­0202 RRQ­ 004,WA­ 202031716748,
603,2020-03-16,2020-03-21,Jefferson County Sheriff,Jefferson,Port Hadlock,"suits, tyvek",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,JCSO31620­2 200256,WA­ 202031617237,
604,2020-03-17,2020-03-21,City of Yakima,Yakima,Yakima,"mask, n95,",Masks,Incident Stabilization,County,Accepted,,,WA­ 20203171653 02­0202 RRQ­ 008,WA­ 20203171653,
604,2020-03-17,2020-03-21,City of Yakima,Yakima,Yakima,ppe supplies,PPE,Incident Stabilization,County,Accepted,,,WA­ 20203171653 02­0202 RRQ­ 008,WA­ 20203171653,
605,2020-03-18,2020-03-21,San Juan County DEM,San Juan,Friday Harbor,covid19 testing supplies,,,County,Unassigned,,,Covid19.1001 Covid19.1001,WA­ 202031815458,
606,2020-03-21,2020-03-21,Forest Ridge Senior Center­SHD,Snohomish,Mountlake Terrace,"mask, n95",Masks,Incident Stabilization,County,Accepted,,,1239 SNOCO­ 202032114916,WA­ 202032114916,
607,2020-03-21,2020-03-21,Forest Ridge Senior Center­SHD,Snohomish,Bothell,gown,Gowns,Incident Stabilization,County,Accepted,,,1236 Snoco­ 202032114173,WA­ 202032114173,
608,2020-03-21,2020-03-21,"Aacres WA, LLC­ SHD",Snohomish,Mountlake Terrace,"gown, disposable",Gowns,Incident Stabilization,County,Accepted,,,1235 Snoco­ 202032113531,WA­ 202032113531,
609,2020-01-31,2020-03-21,WA State DOH,King,Shoreline,healthcare system support specialist,,Incident Stabilization,State,On Scene,On Scene,Planning Section,NCoV0120,WA­ 202013117784,
610,2020-02-09,2020-03-21,DOH IMT,King,Shoreline,custody staff (1) & car (1),,Incident Stabilization,State,On Scene,On Scene,Planning Section,DOH 0208.07,WA­ 2020298844,
611,2020-03-19,2020-03-21,City of Spokane Fire,Spokane,Spokane,"large, 30,000",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COS­003,WA­ 20203199129,
611,2020-03-19,2020-03-21,City of Spokane Fire,Spokane,Spokane,"gown, disposable, xl, 30,000",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COS­003,WA­ 20203199129,
612,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­006,WA­ 20203410464,
613,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"gloves, exam, large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SH­015 WA­ 20203413504,WA­ 20203413504,
614,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"gloves, exam, xl",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SH­014,WA­ 2020341376,
615,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­008,WA­ 20203410962,
616,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­007,WA­ 20203410981,
617,2020-03-04,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SH­011,WA­ 2020349421,
618,2020-03-04,2020-03-21,Providence st joseph health,Spokane,Spokane,"gloves, exam, x­ large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­014,WA­ 2020349509,
619,2020-03-04,2020-03-21,Providence st joseph health,Spokane,Spokane,gown isolation,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­013,WA­ 2020349474,
620,2020-03-04,2020-03-21,Holy Family Hospital,Spokane,Spokane,"gloves, exam, medium",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­018,WA­ 2020349947,
621,2020-03-04,2020-03-21,Providence st joseph health,Spokane,Spokane,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­011,WA­ 2020349378,
622,2020-03-17,2020-03-21,Bethany at Pacific ­ SHD,Snohomish,Everett,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203171597 SnoCo­ 20203171597,WA­ 20203171597,
623,2020-03-16,2020-03-21,WWMG Pulmanary,Snohomish,Everett,"gloves, medium",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,141C SNOCO ­ 202031616434,WA­ 202031616434,
624,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"staffing, shoreline, deputy logistics section chief",Staffing,Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.37 WA­ 20203617725,WA­ 20203617725,
625,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"shoreline, deputy logistics section chief",,Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.39 WA­ 20203617834,WA­ 20203617834,
626,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"staffing, shoreline, deputy logistics section chief",Staffing,Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.41 WA­ 20203617419,WA­ 20203617419,
627,2020-03-06,2020-03-21,Renton Pediatric Associates,King,Renton,"procedure, small",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­20203616471 KC­20203616471,WA­ 20203616471,
627,2020-03-06,2020-03-21,Renton Pediatric Associates,King,Renton,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­20203616471 KC­20203616471,WA­ 20203616471,
627,2020-03-06,2020-03-21,Renton Pediatric Associates,King,Renton,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­20203616471 KC­20203616471,WA­ 20203616471,
628,2020-03-11,2020-03-21,Emerald Heights,King,Redmond,rr 239,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031113968 WA­202031113968,WA­ 202031113968,
628,2020-03-11,2020-03-21,Emerald Heights,King,Redmond,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031113968 WA­202031113968,WA­ 202031113968,
628,2020-03-11,2020-03-21,Emerald Heights,King,Redmond,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031113968 WA­202031113968,WA­ 202031113968,
628,2020-03-11,2020-03-21,Emerald Heights,King,Redmond,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031113968 WA­202031113968,WA­ 202031113968,
628,2020-03-11,2020-03-21,Emerald Heights,King,Redmond,"disinfectant, wipes, spray",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031113968 WA­202031113968,WA­ 202031113968,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,rr 296,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"mask, n95 tb filter",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"mask, n95 particulate",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"mask surgical, fluidshield",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"mask, surgical nofog w",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,shield,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,mask anti­fog,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"mask, surgical so­ soft",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"shield, face, full guard",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"gown, isolation xl",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"gloves, exam lrg",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"gloves, exam sm",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"gloves, exam xsm",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
629,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"gloves, exam med",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615772, RR 296 WA­ 202031615772",WA­ 202031615772,
630,2020-03-14,2020-03-21,Whatcom County Health Department,Whatcom,Lynden,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265/Whatcom 0013 (Christian HCC) WA­ 202031411600,WA­ 202031411600,
630,2020-03-14,2020-03-21,Whatcom County Health Department,Whatcom,Lynden,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265/Whatcom 0013 (Christian HCC) WA­ 202031411600,WA­ 202031411600,
631,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,rr 262,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031316267 KC­202031316267,WA­ 202031316267,
631,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,gloves,Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031316267 KC­202031316267,WA­ 202031316267,
631,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031316267 KC­202031316267,WA­ 202031316267,
631,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,"glasses, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031316267 KC­202031316267,WA­ 202031316267,
631,2020-03-13,2020-03-21,United Friends Group Homes,King,Seattle,gown,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031316267 KC­202031316267,WA­ 202031316267,
632,2020-03-17,2020-03-21,PHSKC,King,Seattle,ppe,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­202031711106,WA­ 202031711106,
633,2020-03-11,2020-03-21,King County Fire District 36,King,Woodinville,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WO2020­01 KC­202031119509,WA­ 202031119509,
633,2020-03-11,2020-03-21,King County Fire District 36,King,Woodinville,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WO2020­01 KC­202031119509,WA­ 202031119509,
633,2020-03-11,2020-03-21,King County Fire District 36,King,Woodinville,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WO2020­01 KC­202031119509,WA­ 202031119509,
633,2020-03-11,2020-03-21,King County Fire District 36,King,Woodinville,hepa filter,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WO2020­01 KC­202031119509,WA­ 202031119509,
634,2020-03-05,2020-03-21,University of Washington Medicine,King,Seattle,rr 153,,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH ­ 20203514346 WA­20203514346,WA­ 20203514346,
634,2020-03-05,2020-03-21,University of Washington Medicine,King,Seattle,"mask, n95, particulate",Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH ­ 20203514346 WA­20203514346,WA­ 20203514346,
634,2020-03-05,2020-03-21,University of Washington Medicine,King,Seattle,"hood, hepa, hood respirator",,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH ­ 20203514346 WA­20203514346,WA­ 20203514346,
634,2020-03-05,2020-03-21,University of Washington Medicine,King,Seattle,"headcover versaflow, , gown, disposable, goggles, shield, face",Gowns,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH ­ 20203514346 WA­20203514346,WA­ 20203514346,
634,2020-03-05,2020-03-21,University of Washington Medicine,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH ­ 20203514346 WA­20203514346,WA­ 20203514346,
634,2020-03-05,2020-03-21,University of Washington Medicine,King,Seattle,mask surgical,Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH ­ 20203514346 WA­20203514346,WA­ 20203514346,
635,2020-03-14,2020-03-21,Whatcom County Health Department,Whatcom,Bellingham,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0265/Whatcom 0014 (Bellingham NFM) WA­ 202031412493,WA­ 202031412493,
636,2020-03-13,2020-03-21,Puget Sound Regional Health Services,King,Renton,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031313984,WA­ 202031313984,
637,2020-03-17,2020-03-21,Columbia Lutheran Home,King,Seattle,"gowns, masks ­ procedure, goggles rr 320 (do not remove) ­ ppe for columbia lutheran home",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031715974, RR 320 KC­202031715974",WA­ 202031715974,
