,original_dt,update_dt,agency,county,city,subject,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
421,2020-03-20,2020-03-21,"Washington State Penitentary, Walla Walla",Walla,Walla Walla Walla,"Gowns, Isolation",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0320003,WA­ 202032013129,
422,2020-03-18,2020-03-21,PHSKC,King,Seattle,"RR 324 (DO NOT REMOVE) ­ Gown, Disposable, Adult, ISO Full ELASCUF LF YLW, 1500 / Mask, Disposable, Adult, 1870, 15 Boxes / Mask, Disposable, Adult, N95, 1500",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031816446, RR 324 KC­ 202031816446",WA­ 202031816446,
423,2020-03-15,2020-03-21,Clark Regional Emergency Services Agency,Clark,Vancouver,Flu Swab Kits,Incident Stabilization,County,Assigned,Assigned,Logistics Section,CREOC­0007 CREOC­0007,WA­ 202031514218,
424,2020-03-17,2020-03-21,Kaiser Permanente,King,Seattle,RR 315 (Do Not Remove) ­ Swabs for Kaiser Permanente,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031712419, RR 315 KC­ 202031712419",WA­ 202031712419,
425,2020-03-13,2020-03-21,Clark Children and Family Justice Center (CFJC) ­ Youth Detention,King,Seattle,"Disinfectant wipes / hand sanitizer / thermometer, no touch for CFJC (Don't remove: RR 252)",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031311891 KC­ 202031311891,WA­ 202031311891,
426,2020-03-13,2020-03-22,Asotin County Emergency Management,Asotin,Asotin,Save for future requests,Incident Stabilization,County,Assigned,Assigned,,AC0004 WA­ 202031314437,WA­ 202031314437,
427,2020-03-15,2020-03-22,Asotin County Emergency Management,Asotin,Asotin,Save for future requests,Incident Stabilization,County,Assigned,Assigned,,AC003,WA­ 202031511807,
428,2020-03-13,2020-03-22,Department of Corrections,Snohomish,Monroe,"Gloves, exam / mask, N95 / Disinfectant",Incident Stabilization,County,Assigned,Assigned,,00060 WA­ 202031317305,WA­ 202031317305,
429,2020-03-19,2020-03-22,AFH Management,Snohomish,Mountlake Terrace,"Gowns, Isolation",Incident Stabilization,County,Accepted,,,SnoCo­ 20203199579,WA­ 20203199579,
430,2020-03-21,2020-03-22,"Aacres WA, LLC­ SHD",Snohomish,Mountlake Terrace,"Mask, Procedural",Incident Stabilization,County,Accepted,,,1237 SNOCO­ 202032111702,WA­ 202032111702,
431,2020-03-18,2020-03-22,Snohomish Health District ­ DEM ECC,Snohomish,Everett,"Masks, Surgical",Incident Stabilization,County,Accepted,In Transit,,1071201582 SnoCo­ 20203181038,WA­ 20203181038,
432,2020-03-11,2020-03-22,Snohomish County Sheriff,Snohomish,Everett,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,,SnoCo­ 20203119853,WA­ 20203119853,
433,2020-03-13,2020-03-22,SnoCo Medical Examiner,Snohomish,Everett,N95 Mask filter disks,Incident Stabilization,County,Completed,Assigned Completed,,Snoco­ 202031315282,WA­ 202031315282,
434,2020-03-20,2020-03-22,Snoco ECC/ BULK_Responder,Snohomish,Everett,Labcoats,Incident Stabilization,County,In Transit,In Transit,,Snoco­ 20203208114,WA­ 20203208114,
435,2020-03-05,2020-03-22,Sound Transit,King,Seattle,Sanitizing Wipes and Hand Sanitizer,Property Preservation,County,In Transit,Assigned,,KC­ 20203511510,WA­ 20203511510,
436,2020-03-20,2020-03-22,Washington State Emergency Management,Pierce,Lakewood,FMS,Incident Stabilization,State,Assigned,Assigned,,WA­ 20203201611,WA­ 20203201611,2615­ 106893
437,2020-03-09,2020-03-21,DSHS ­ Long Term Care IC,Thurston,Olympia,hand sanitizer / gloves / mask / shields face / gown / ^,Incident Stabilization,State,Completed,Assigned,,DSHS­0004,WA­ 20203914869,
438,2020-03-11,2020-03-21,Snohomish County Sheriff,Snohomish,Everett,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,,SNOCO ­ WA­ 202031114644,WA­ 202031114644,
439,2020-03-16,2020-03-21,WWMG Pulmanary,Snohomish,Everett,"Gowns, Disposable",Incident Stabilization,County,Assigned,Assigned,,141A SNOCO 202031615916,WA­ 202031615916,
440,2020-03-16,2020-03-21,WWMG Pulmanary,Snohomish,Everett,"Masks, Procedure",Incident Stabilization,County,Assigned,Assigned,,141B SNOCO ­ 202031615738,WA­ 202031615738,
441,2020-03-11,2020-03-21,Providence Everett Medical,Snohomish,Everett,"Gloves, Exam",Incident Stabilization,County,Assigned,Assigned,,PSJH SNOHOMISH SM GLOVR­ 31020 SnoCo­ 202031114863,WA­ 202031114863,
442,2020-03-16,2020-03-21,WWMG Whitehorse Family Medicine ­ SHD,Snohomish,Arlington,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,,SnoCo­ 202031616749,WA­ 202031616749,
443,2020-03-11,2020-03-21,Providence SHD,Snohomish,Everett,"Gloves, Exam, Large",Incident Stabilization,County,Assigned,Assigned,,PSJH SNOHOMISH LG GLOVE­ 31020 SnoCo­ 202031114978,WA­ 202031114978,
444,2020-03-17,2020-03-21,DSHS,Thurston,Olympia,Universal Transport Medium,,State,Assigned,Assigned,,DSHS­0016,WA­ 202031711996,
445,2020-03-14,2020-03-24,Spokane County DEM,Spokane,Spokane,"Staffing, OSC PSC, Spokane",Incident Stabilization,County,Cancelled,Assigned,,20­0265­001 WA­ 20203141221,WA­ 20203141221,
446,2020-03-23,2020-03-24,Clallam County EOC,Clallam,Forks,Cots,Incident Stabilization,County,Assigned,Cancelled,,20­0265 Health 001,WA­ 202032314841,
447,2020-03-21,2020-03-24,DSHS­BHA,Thurston,Olympia,DSHS Eastern State Bulk PPE 2,Incident Stabilization,State,Accepted,Assigned,,DSHS­0022,WA­ 202032114777,
448,2020-03-21,2020-03-23,DSHS­BHA,Thurston,Olympia,* DSHS Western State Bulk PPE 1*,Incident Stabilization,State,Accepted,Assigned,,DSHS­0023,WA­ 20203211588,
449,2020-03-19,2020-03-23,DSHS/Lakeland Village,Spokane,Medical Lake,* DSHS Lakeland Village Bulk Request,Incident Stabilization,State,Accepted,Assigned,,WA­ 20203199167 2020­1,WA­ 20203199167,
450,2020-03-23,2020-03-23,WA Dept of Agriculture,Thurston,Olympia,* WSDA Request,Incident Stabilization,State,Accepted,Assigned,,WA­ 202032314319,WA­ 202032314319,
451,2020-03-17,2020-03-23,Washington State Patrol,Thurston,Tumwater,* WSP Bulk Order,Incident Stabilization,State,Accepted,Assigned,,WA­ 202031710320 WSP 2020­ 001,WA­ 202031710320,
452,2020-03-22,2020-03-23,Spokane County DEM,Spokane,Spokane,*Spokane Consolidated List,Incident Stabilization,State,Accepted,Assigned,,SpoCo­001 SpoCo­001,WA­ 202032215544,
453,2020-03-23,2020-03-23,Washington State Parks,Thurston,Tumwater,* WA Parks Consolidated List,Incident Stabilization,State,Accepted,Assigned,,WA­ 202032311843,WA­ 202032311843,
454,2020-03-22,2020-03-23,King County Emergency Management,King,Renton,* King County Weekly PPE request (week ending 3/22/20),Incident Stabilization,State,Accepted,Assigned,,KC­ 202032216567 KC­ 202032216567,WA­ 202032216567,
455,2020-03-07,2020-03-20,WA State DOH,Thurston,Tumwater,"Staffing, Tumwater, Deputy Operations Section Chief",Incident Stabilization,State,Cancelled,Cancelled,,DOH­T 0307.11 WA­ 20203717106,WA­ 20203717106,
456,2020-03-20,2020-03-20,Everett Police Department,Snohomish,Everett,"Gown, disposable",Incident Stabilization,County,Accepted,,,SnoCo­ 202032016386,WA­ 202032016386,
457,2020-03-19,2020-03-20,King County Sheriff's Office /Sound Tranisit Police,King,Seattle,Electrostatic Sprayer,Incident Stabilization,County,Accepted,Assigned,,KC­ 202031911738,WA­ 202031911738,
458,2020-03-17,2020-03-20,TPCHD,Pierce,Tacoma,15 Personnel to serve as testers,Incident Stabilization,State,Cancelled,Cancelled,,CBTS 0001 WA­ 202031717766,WA­ 202031717766,
459,2020-03-20,2020-03-20,Kittitas County Emergency Management,Kittitas,Ellensburg,Computer Connection Equipment,Incident Stabilization,County,Completed,Completed,,0003 0014,WA­ 202032016630,
460,2020-03-11,2020-03-20,New Westside Terrace,Cowlitz,Longview,Medical protective equipment/supplies,Life Saving,County,Unassigned,Assigned,,DEM­003,WA­ 2020311753,
461,2020-02-06,2020-03-20,PHSKC,King,Seattle,RR 107 ­ Coronavirus Specific Email Address,Incident Stabilization,City,Completed,Completed,,PH­ 20202616411,WA­ 20202616411,
462,2020-03-20,2020-03-20,HomeInStead through Sequim ECC,Clallam,Sequim,N­95 masks or similar,Incident Stabilization,City,Unassigned,,,SE#8,WA­ 202032015727,
463,2020-03-20,2020-03-20,Whitman County Emergency Management,Whitman,Colfax,PPE,,County,Unassigned,,,002,WA­ 202032014811,
464,2020-03-13,2020-03-20,****Duplicate ***Jail Medical Services ­ King County,King,Kent,PPE Items,Incident Stabilization,County,Cancelled,,,KC­ 20203138944,WA­ 20203138944,
465,2020-03-17,2020-03-21,Whidbey Health Medical,Island,Coupeville,Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030017,WA­ 202031711529,
466,2020-03-16,2020-03-21,Goldendale Fire Department,Klickitat,Goldendale,"Gowns, Isolation",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0260011,WA­ 202031614702,
467,2020-03-14,2020-03-21,Klickitat Fire District 3,Klickitat,Goldendale,"Masks, Surgical",Incident Stabilization,County,Assigned,Assigned,Logistics Section,02600008,WA­ 202031411107,
468,2020-03-14,2020-03-21,Klickitat Fire District 3,Klickitat,Goldendale,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,02600005,WA­ 202031411161,
469,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,"Gloves, Nitrile, Medium, / Gloves, Nitrile, Large, /",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913109 IC­20­030037,WA­ 202031913109,
470,2020-03-17,2020-03-21,KCEMS1,Klickitat,Goldendale,Masks / Eye Protection,Incident Stabilization,County,Assigned,Assigned,Logistics Section,0260033,WA­ 202031711477,
471,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,N95 Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913725 IC­20­030036,WA­ 202031913725,
472,2020-03-16,2020-03-21,KCEMS1,Klickitat,Goldendale,3M APR Cartridges,Incident Stabilization,County,Assigned,Assigned,Logistics Section,0280020,WA­ 202031618441,
473,2020-03-06,2020-03-18,West Pierce Fire & Rescue & City of Lakewood,Pierce,Lakewood,Fluid Resistant Gowns,Incident Stabilization,City,Unassigned,,,RR#3,WA­ 20203614889,
474,2020-03-18,2020-03-18,Esther's Place / Hoff Foundation,Snohomish,Everett,Paper Towels,Incident Stabilization,County,Accepted,,,SnoCo­ 202031816276,WA­ 202031816276,
475,2020-03-18,2020-03-18,Okanogan EM/Brewster Police,Okanogan,Okanogan County,"Gown, Disposable",Incident Stabilization,County,Unassigned,,,OKEM202003160006,WA­ 202031815919,
476,2020-03-18,2020-03-18,Esther's Place / Hoff Foundation,Snohomish,Everett,"Sanitizer, Hand",Incident Stabilization,County,Accepted,,,SnoCo­ 202031815731,WA­ 202031815731,
477,2020-03-18,2020-03-18,Esther's Place / Hoff Foundation,Snohomish,Everett,Gloves,Incident Stabilization,County,Accepted,,,SnoCo­ 202031815160,WA­ 202031815160,
478,2020-03-18,2020-03-18,Esther's Place / Hoff Foundation,Snohomish,Everett,"Wipes, Disinfecting",Incident Stabilization,County,Accepted,,,SnoCo­ 202031815398,WA­ 202031815398,
479,2020-03-18,2020-03-18,Esther's Place / Hoff Foundation,Snohomish,Everett,"Mask, Procedure",Incident Stabilization,County,Accepted,,,SnoCo­ 202031816958,WA­ 202031816958,
480,2020-03-18,2020-03-18,Snohomish County ­ DEM ECC,Snohomish,Everett,"Mask, Dust",Incident Stabilization,County,Accepted,,,119974 SnoCo­ 202031815685,WA­ 202031815685,
481,2020-03-18,2020-03-18,Snohomish County ­ DEM ECC,Snohomish,Everett,"Air Filters, N95 Mask",Incident Stabilization,County,Assigned,,,15002 SnoCo­ 20203181594,WA­ 20203181594,
482,2020-03-18,2020-03-18,Island County Public Health,Island,Coupeville,Experienced PIO,Incident Stabilization,State,Assigned,Assigned,,IC­20­030033,WA­ 202031814551,
483,2020-03-18,2020-03-18,Snohomish County ­ DEM ECC,Snohomish,Everett,"Masks, N95",Incident Stabilization,County,In Transit,,,14995 SnoCo­ 202031813922,WA­ 202031813922,
484,2020-03-10,2020-03-18,PHSKC,King,Seattle,RR 226S Test Result Data Entry,Incident Stabilization,City,Unassigned,,,PH­202031017837,WA­ 202031017837,
485,2020-03-18,2020-03-18,DSHS,Lewis,Centralia,PPE and other materials,,County,Unassigned,,,DSHS­0018,WA­ 202031812263,
486,2020-02-07,2020-02-28,PHSKC,King,Seattle,RR 020 ­ Wrap Around Services Coordinator,Incident Stabilization,City,Completed,Completed,,PH­ 20202714955,WA­ 20202714955,
487,2020-02-07,2020-02-28,PHSKC,King,Seattle,RR 019 ­ Data Manager,Incident Stabilization,City,Completed,Completed,,PH­ 20202714630,WA­ 20202714630,
488,2020-02-19,2020-02-28,PHSKC,King,Seattle,RR 031 ­ Generic HMAC Accts / Access to SP,Incident Stabilization,City,Completed,,,PH­ 202021913421,WA­ 202021913421,
489,2020-02-18,2020-02-28,PHSKC,King,Seattle,RR 030 ­ Disease Researcher,Incident Stabilization,City,Completed,Assigned,,PH­ 20202188195,WA­ 20202188195,
490,2020-02-18,2020-02-24,PHSKC,King,Seattle,RR 130 ­ Email for COVID,,City,Completed,,,PH­ 202021812396,WA­ 202021812396,
491,2020-02-21,2020-02-21,PHSKC,King,Seattle,RR 128 ­ Printing / Copies.,Incident Stabilization,City,Completed,,,PH­ 20202218320,WA­ 20202218320,
492,2020-02-14,2020-02-21,PHSKC,King,Seattle,RR 130 ­ covid@kingCounty.gov shared Inbox,,City,Completed,,,PH­ 20202149610,WA­ 20202149610,
493,2020-01-29,2020-02-21,PHSKC,King,Seattle,RR 013 ­ PHRC Credentialing Administrator,Incident Stabilization,City,Completed,Completed,,PH­ 20202617999,WA­ 20202617999,
494,2020-02-07,2020-02-21,PHSKC,King,Seattle,RR 006 ­ Epidemiologist,Incident Stabilization,City,Completed,Completed,,PH­ 20202712846,WA­ 20202712846,
495,2020-02-12,2020-02-21,PHSKC,King,Seattle,RR 121 ­ Disposable Phones,Incident Stabilization,City,Cancelled,Assigned,,PH­ 202021211116,WA­ 202021211116,
496,2020-02-18,2020-02-21,PHSKC,King,Seattle,RR 122 ­ Gift Cards,Incident Stabilization,City,Completed,,,PH­ 20202181118,WA­ 20202181118,
497,2020-02-16,2020-03-22,DOH IMT,King,Shoreline,"Staffing, Shoreline, Operations Section Chief",Incident Stabilization,State,On Scene,On Scene,,DOH 0216.10 DOH 0216.10,WA­ 202021616384,
498,2020-02-13,2020-03-22,DOH IMT,King,Shoreline,PIO and APIO,Incident Stabilization,State,Cancelled,Cancelled,,DOH 0213.10 DOH 0213.10,WA­ 202021316366,
499,2020-02-21,2020-03-22,DOH IMT,King,Shoreline,6 DOC CISM Team Members,Incident Stabilization,State,On Scene,On Scene,,DOH 0221.11 DOH 0221.11,WA­ 202022116572,
500,2020-02-14,2020-03-22,DOH IMT,King,Shoreline,Quarantine Task Force Lead,Incident Stabilization,State,Cancelled,Cancelled,,WA­ 202021417990,WA­ 202021417990,
501,2020-03-22,2020-03-22,Cowlitz Indian Tribe,Cowlitz,Cowlitz Indian Tribe,PPE,,County,Unassigned,,,CIT20­000001,WA­ 202032215278,
502,2020-03-06,2020-03-22,WA State DOH,King,Shoreline,Food Unit Leader,Incident Stabilization,State,Cancelled,Cancelled,,DOH­T 0305.8 WA­ 20203613409,WA­ 20203613409,
503,2020-02-20,2020-03-22,DOH IMT,King,Shoreline,"Staffing, Shoreline, Planning Section Chief",Incident Stabilization,State,On Scene,On Scene,,DOH 0220.11 DOH 0220.11,WA­ 202022016120,
504,2020-03-05,2020-03-22,Public Health Seattle­King County,King,Seattle,"Staffing, King County, RR154 Incident Management Team",Incident Stabilization,State,On Scene,On Scene Completed,,PH­ 20203511579 KC­ 20203511579,WA­ 20203511579,
505,2020-03-17,2020-03-22,University Washington: Medical,King,Seattle,"Staffing, IMT, UW Med Center",Incident Stabilization,State,Assigned,Assigned,,WA­ 20203171238 KC­ 20203171238,WA­ 20203171238,
506,2020-03-13,2020-03-21,TRIOS Health,Benton,Benton City,Booties,Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC016­COVID19,WA­ 202031314474,
507,2020-03-18,2020-03-21,Jefferson County Central Services,Jefferson,Port Townsend,"Alcohol, 90%, 10 Gallons / Hand Sanitizer, 15 Gallons / Mask, N95, Large, 500 / Suits, Tyvek, 2XL, 250 / Shield, Face, 100",Incident Stabilization,County,Assigned,Assigned,Logistics Section,JCCS31820­1 JCCS31820­1,WA­ 20203188445,
508,2020-03-13,2020-03-21,TRIOS Health,Benton,Benton City,"Mask, procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC014­COVID19 WA­202031314940,WA­ 202031314940,
509,2020-03-19,2020-03-21,Jefferson Healthcare,Jefferson,Port Townsend,"Glasses, Safety, / Eye Protection",Incident Stabilization,County,Assigned,Assigned,Logistics Section,JHC­03192020­05 JHC­03192020­05,WA­ 202031916604,
510,2020-03-13,2020-03-21,TRIOS Health,Benton,Benton City,"Mask, procedure / shield, face",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC017­COVID19 WA­202031314949,WA­ 202031314949,
511,2020-03-18,2020-03-21,Jefferson Health Care,Jefferson,Port Townsend,swab,Incident Stabilization,County,Assigned,Assigned,Logistics Section,JHC3182020­1 JHC3182020­1,WA­ 20203189225,
512,2020-03-11,2020-03-21,Kitsap County Administrative Services Department,Kitsap,Bremerton,"Mask, N95, Medium / Mask, Proceudre / Gown, Disposable / Booties, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 012,WA­ 202031118790,
513,2020-03-14,2020-03-21,Providence ElderPlace ­ Seattle,King,Seattle,sanitizing wipes / hand sanitizer / RR 281,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031417698, RR 281 KC­ 202031417698",WA­ 202031417698,
514,2020-03-11,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"T3 / Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 010,WA­ 202031117800,
515,2020-03-14,2020-03-21,Providence St. Joseph Health ­ Tukwila,King,Tukwila,"wipes, sanitizer / hand sanitizer / RR 273",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031415251, RR 273 WA­ 202031415251",WA­ 202031415251,
516,2020-03-11,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"T2, Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 009,WA­ 20203111644,
517,2020-03-13,2020-03-21,Seattle Indian Health Board,King,Seattle,"RR 258 ­ Sanitizer, hand",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031314288 KC­ 202031314288,WA­ 202031314288,
518,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"Glove, Exam, Small, 100 / Glove, Exam, Medium, 100 / Glove, Exam, Large, 300 / Glove, Exam, Extra­ Large, 300",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031814970 SCSO­002,WA­ 202031814970,
519,2020-02-24,2020-03-21,DOH IMT,King,Shoreline,Safety Officer / ^,Incident Stabilization,County,Completed,Completed,Planning Section,DOH 0224.03 DOH 0224.03,WA­ 202022416637,
520,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"Hand Sanitizer, 4oz, 500",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031814507 SCSO­002,WA­ 202031814507,
521,2020-03-04,2020-03-21,Holy Family Hospital,Spokane,Spokane,"Gloves, Exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­017,WA­ 2020349654,
522,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"Mask, N95, Large, 500",Incident Stabilization,County,Assigned,,,WA­ 202031814185 SCSO­001,WA­ 202031814185,
523,2020-03-13,2020-03-21,Sullivan Park Assisted Living,Spokane,Spokane Valley,"Mask, N95, / N95 Masks",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203139819 SPAL311,WA­ 20203139819,
524,2020-03-19,2020-03-19,Douglas County Fire District #2,Douglas,East Wenatchee,"Medical Supplies, PPE",Incident Stabilization,County,Unassigned,,,03­19­20 01 03­19­20 01,WA­ 202031914460,
525,2020-03-19,2020-03-19,Skagit Community Justice Center,Skagit,Anacortes,"mask,surgical",Incident Stabilization,County,Completed,,,202003191033,WA­ 202031911531,
526,2020-03-18,2020-03-19,Skagit Pediatrics,Skagit,Mount Vernon,"gown,disposable/mask,surgical child/mask,surgical, adult",Incident Stabilization,County,Accepted,,,202003171429,WA­ 202031811321,
527,2020-03-19,2020-03-19,Sequim ECC,Clallam,Sequim,PPE Safety Glasses,Incident Stabilization,City,Unassigned,,,SE#6,WA­ 202031913145,
528,2020-03-19,2020-03-19,Cowlitz Family Health Center,Cowlitz,Longview,Coronavirus Test Kits,Incident Stabilization,County,Unassigned,,,DEM­021,WA­ 202031914335,
529,2020-03-06,2020-03-19,MercyWatch,Snohomish,Everett,N95 Masks,,County,Unassigned,,,Sno­ 20203614982 Sno­ 20203614982,WA­ 20203614982,
530,2020-03-11,2020-03-19,Department of Health,Thurston,Tumwater,"Staffing, Tumwater, WSP Security",Property Preservation,State,Assigned,Assigned,,WA­ 202031113248,WA­ 202031115584,
531,2020-03-16,2020-03-19,Thurston County Emergency Management,Thurston,Lacey,"Staffing, Olympia, Security Personnel",Property Preservation,State,Assigned,Assigned,,TH­ 20203161672 TH­ 20203161672,WA­ 20203161672,
532,2020-03-03,2020-03-19,DCHS,King,Seattle,COVID­19 Supplies for Homeless Shelter Programs,Incident Stabilization,County,Assigned,Assigned,,KC­ 20203312381,WA­ 20203312381,
533,2020-02-12,2020-03-19,PHSKC,King,Seattle,RR 120 ­ Texting Platform,Incident Stabilization,City,Assigned,Assigned,,PH­ 202021211667,WA­ 202021211667,
534,2020-03-04,2020-03-19,DCHS,King,Seattle,"50 garbage bins, and garbage liners",Incident Stabilization,County,Assigned,Assigned,,KC­ 20203414212,WA­ 20203414212,
535,2020-03-19,2020-03-21,Providence Everett Medical,Snohomish,Everett,N95 Mask,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PRMCE013 Snoco­ 202031911715,WA­ 202031911715,
536,2020-03-19,2020-03-21,Skagit Regional Health,Snohomish,Arlington,"Medication, Inhaler, ProAir",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 202031916820,WA­ 202031916820,
537,2020-03-18,2020-03-21,Skagit Regional Health,Snohomish,Arlington,"Masks, Oxygen",Incident Stabilization,County,Assigned,Assigned,Logistics Section,05 SnoCo­ 202031811947,WA­ 202031811947,
538,2020-03-17,2020-03-21,Snohomish County Fire Task Force/SHD,Snohomish,Everett,"Test, COVID­ 19",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031714951 SnoCo­ 202031714951,WA­ 202031714951,
539,2020-03-16,2020-03-21,Fire/LE Task Force /South County Fire,Snohomish,Everett,"Fit Testing Hood, Grainger / Fit Testing accessory, Grainger",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 202031615138,WA­ 202031615138,
540,2020-03-11,2020-03-21,Providence Everett Medical,Snohomish,Everett,HAND SANITIZER,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO­ 202031114101/PSJH SNOHOMISH­31020 WA­202031114101,WA­ 202031114101,
541,2020-03-11,2020-03-21,Providence Snohomish HH,Snohomish,Everett,Super Sani­ cloth Germicidal Disposable Wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PSJH Snohomish Wipes­31020 SnoCo­ 202031114123,WA­ 202031114123,
542,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,Hand Sanitizer,Incident Stabilization,State,Assigned,Assigned,,WA­ 20203914724 DSHS­0006,WA­ 20203914724,
543,2020-03-22,2020-03-23,City of North Bend,King,North Bend,PPE's,Incident Stabilization,County,Unassigned,,,NB­001,WA­ 20203229587,
544,2020-03-23,2020-03-23,DOH Shoreline Lab,King,Shoreline,STAFFING: Chaplaincy Service & CISM,Incident Stabilization,State,Assigned,Assigned,,WA­ 202032314387,WA­ 202032314387,
545,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,"hand sanitizer / gown / mask, face / gloves, nitrile",Incident Stabilization,State,Assigned,Assigned,,DSHS­0007,WA­ 20203915442,
546,2020-03-04,2020-03-23,DSHS,Thurston,Olympia,40 N95 Masks by 3/5/2020 / ^,Incident Stabilization,State,Assigned,Completed,,DSHS­0001,WA­ 20203421584,
547,2020-03-23,2020-03-23,Sequim ECC,Clallam,Sequim,Surgical masks,Incident Stabilization,City,Unassigned,,,SE #21,WA­ 202032314745,
548,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,PPE / ^,Incident Stabilization,State,Assigned,Completed,,DSHS­0012 DSHS­0012,WA­ 20203916630,
549,2020-03-23,2020-03-23,Seadrunar,King,Seattle,RR 330a (DO NOT REMOVE) ­ PPE for DCHS/BHRD,Incident Stabilization,County,Unassigned,,,"PH­ 202032314695, RR 331a",WA­ 202032314695,
550,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,"Hand Sanitizer / Gloves, Exam / Mask, Procedure / Gown, Disposable",Incident Stabilization,State,Assigned,Assigned,,DSHS­0005,WA­ 20203915928,
551,2020-03-23,2020-03-23,Brookdale­ SHD,Snohomish,Everett,Hand Sanitizer,Incident Stabilization,County,Accepted,,,Snoco­ 202032314921,WA­ 202032314921,
552,2020-03-17,2020-03-21,City of Yakima ­ Fire Dept,Yakima,Yakima,"Mask, N95, Large, 1000 / Gown, Disposable, 1000",,County,Assigned,Assigned,Logistics Section,WA­202031717579 02­0202 RRQ­010,WA­ 202031717579,
553,2020-03-06,2020-03-21,Lewis County Emergency Management,Lewis,Chehalis,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,LC­001 WA­20203617582,WA­ 20203617582,
554,2020-03-16,2020-03-21,Pierce County Emergency Management,Pierce,Orting,MRE's,Incident Stabilization,County,Assigned,Assigned,Logistics Section,29421,WA­ 202031611192,
555,2020-03-17,2020-03-21,Community Living,Yakima,Yakima,"Gowns, Disposable, Large, 1000 / Masks, Procedure, Large, 1000",,County,Assigned,Unassigned,Logistics Section,WA­202031716223 02­0202 RRQ­006,WA­ 202031716223,
556,2020-03-19,2020-03-21,Lewis County DEM Toledo Police & Public Works,Lewis,Toledo,"Gloves, Disposable / Mask, procedure, Shield",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031917319 Lewis­202031011566,WA­ 202031917319,
557,2020-03-19,2020-03-21,Lewis County DEM Morton Police Department,Lewis,Morton,N­95 Mask/ Disinfectant/ Gloves/ Face Shields/ Hand Sanitizing,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031916922 Lewis­202031011566,WA­ 202031916922,
558,2020-03-17,2020-03-21,Mountain View Medical Clinic,Yakima,Yakima,"Masks, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031716170 02­0202 RRQ­005,WA­ 202031716170,
